snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
970491000000100#,NA,First Language Not English,NA#,0,1,1,1706061000006110#,Main spoken language Chechen,EMISNQMA34,NA,2.47E+15,NA,17
970491000000100#,NA,First Language Not English,NA#,0,1,1,8355871000006117#,Main spoken language Chechen,^ESCTMA835587,NA,8.36E+15,NA,17
970511000000108#,NA,First Language Not English,NA#,0,1,1,8355901000006117#,Main spoken language Church Slavonic,^ESCTMA835590,NA,2.48E+15,NA,17
970511000000108#,NA,First Language Not English,NA#,0,1,1,8355891000006116#,Main spoken language Church Slavic,^ESCTMA835589,NA,8.36E+15,NA,17
970511000000108#,NA,First Language Not English,NA#,0,1,1,1706081000006117#,Main spoken language Church Slavic,EMISNQMA36,NA,2.47E+15,NA,17
970521000000102#,NA,First Language Not English,NA#,0,1,1,1706091000006119#,Main spoken language Chuvash,EMISNQMA37,NA,2.47E+15,NA,17
970521000000102#,NA,First Language Not English,NA#,0,1,1,8355921000006110#,Main spoken language Chuvash,^ESCTMA835592,NA,8.36E+15,NA,17
970531000000100#,NA,First Language Not English,NA#,0,1,1,8355931000006113#,Main spoken language Cornish,^ESCTMA835593,NA,8.36E+15,NA,17
970531000000100#,NA,First Language Not English,NA#,0,1,1,1706101000006113#,Main spoken language Cornish,EMISNQMA38,NA,2.47E+15,NA,17
970541000000109#,NA,First Language Not English,NA#,0,1,1,1706111000006111#,Main spoken language Cree,EMISNQMA39,NA,2.47E+15,NA,17
970541000000109#,NA,First Language Not English,NA#,0,1,1,8355941000006115#,Main spoken language Cree,^ESCTMA835594,NA,8.36E+15,NA,17
970551000000107#,NA,First Language Not English,NA#,0,1,1,1706121000006115#,Main spoken language Dhivehi,EMISNQMA40,NA,2.47E+15,NA,17
970551000000107#,NA,First Language Not English,NA#,0,1,1,8355951000006118#,Main spoken language Dhivehi,^ESCTMA835595,NA,8.36E+15,NA,17
970561000000105#,NA,First Language Not English,NA#,0,1,1,1706131000006117#,Main spoken language Ewe,EMISNQMA41,NA,2.47E+15,NA,17
970561000000105#,NA,First Language Not English,NA#,0,1,1,8355961000006116#,Main spoken language Ewe,^ESCTMA835596,NA,8.36E+15,NA,17
970501000000106#,NA,First Language Not English,NA#,0,1,1,1706071000006115#,Main spoken language Chinese,EMISNQMA35,NA,2.47E+15,NA,17
970501000000106#,NA,First Language Not English,NA#,0,1,1,8355881000006119#,Main spoken language Chinese,^ESCTMA835588,NA,8.36E+15,NA,17
204191000000105#,NA,Non-English speaking,NA#,0,1,1,8064571000006110#,Turkish language interpreter needed,^ESCTTU806457,NA,6.45E+14,NA,37
204191000000105#,NA,Non-English speaking,NA#,0,1,1,312381000000111#,Interpreter needed - Turkish,9NUq,9NUq.00,3.12E+14,NA,37
204131000000109#,NA,Non-English speaking,NA#,0,1,1,312261000000111#,Interpreter needed - Tamil,9NUn,9NUn.00,3.12E+14,NA,37
204131000000109#,NA,Non-English speaking,NA#,0,1,1,8064501000006116#,Tamil language interpreter needed,^ESCTTA806450,NA,6.45E+14,NA,37
204111000000101#,NA,Non-English speaking,NA#,0,1,1,8064461000006116#,Tagalog language interpreter needed,^ESCTTA806446,NA,6.45E+14,NA,37
204111000000101#,NA,Non-English speaking,NA#,0,1,1,312221000000115#,Interpreter needed - Tagalog,9NUm,9NUm.00,3.12E+14,NA,37
204151000000102#,NA,Non-English speaking,NA#,0,1,1,8064531000006112#,Thai language interpreter needed,^ESCTTH806453,NA,6.45E+14,NA,37
204151000000102#,NA,Non-English speaking,NA#,0,1,1,312301000000118#,Interpreter needed - Thai,9NUo,9NUo.00,3.12E+14,NA,37
204231000000101#,NA,Non-English speaking,NA#,0,1,1,312471000000115#,Interpreter needed - Welsh,9NUu,9NUu.00,3.12E+14,NA,37
204231000000101#,NA,Non-English speaking,NA#,0,1,1,8064661000006119#,Welsh language interpreter needed,^ESCTWE806466,NA,6.45E+14,NA,37
204171000000106#,NA,Non-English speaking,NA#,0,1,1,8064551000006117#,Tigrinya language interpreter needed,^ESCTTI806455,NA,6.45E+14,NA,37
204171000000106#,NA,Non-English speaking,NA#,0,1,1,312341000000115#,Interpreter needed - Tigrinya,9NUp,9NUp.00,3.12E+14,NA,37
204201000000107#,NA,Non-English speaking,NA#,0,1,1,312401000000111#,Interpreter needed - Ukrainian,9NUr,9NUr.00,3.12E+14,NA,37
204201000000107#,NA,Non-English speaking,NA#,0,1,1,8064591000006111#,Ukrainian language interpreter needed,^ESCTUK806459,NA,6.45E+14,NA,37
204221000000103#,NA,Non-English speaking,NA#,0,1,1,8064641000006118#,Vietnamese language interpreter needed,^ESCTVI806464,NA,6.45E+14,NA,37
204221000000103#,NA,Non-English speaking,NA#,0,1,1,312441000000114#,Interpreter needed - Vietnamese,9NUt,9NUt.00,3.12E+14,NA,37
204211000000109#,NA,Non-English speaking,NA#,0,1,1,8064611000006117#,Urdu language interpreter needed,^ESCTUR806461,NA,6.45E+14,NA,37
